order_month,order_month_label,sales,net_sales,profit,orders,order_lines,avg_order_value,late_rate,avg_discount_rate,profit_margin,yoy_sales_pct,mom_sales_pct
2015-01-01,2015-01,1051590.080197363,945382.1605344249,111660.740131745,1787,5322,588.4667488513504,0.5411499436302142,0.10114806513697858,0.10618276287922805,,
2015-02-01,2015-02,927009.898168041,833012.429253123,99140.660195881,1585,4729,584.86428906501,0.5485303446817509,0.10162190789173187,0.10694671156349354,,-0.11846838837234053
2015-03-01,2015-03,1051253.690334273,944050.110472353,113778.210191127,1781,5362,590.2603539215457,0.5475568817605371,0.10184819146810892,0.10823097339610603,,0.13402639217959034
2015-04-01,2015-04,1014463.279822583,912004.400261305,108083.679956629,1710,5126,593.2533800132064,0.538431525555989,0.10185719909715177,0.1065427227445152,,-0.03499670046341685
2015-05-01,2015-05,1050478.44015248,943939.76995613,112147.900143277,1776,5357,591.4856081939641,0.5508680231472839,0.10120776603360089,0.1067588784849296,,0.03550168946104759
2015-06-01,2015-06,1024006.169832033,920242.060275583,110147.160313142,1725,5134,593.6267651200192,0.5410985586287496,0.10146084974386443,0.10756493814017679,,-0.025200203363149987
2015-07-01,2015-07,1038081.190095872,932936.790226654,115624.059878668,1763,5299,588.8151957435463,0.5546329496131346,0.10153047793923382,0.11138248239329868,,0.013745054159339354
2015-08-01,2015-08,1029494.690638762,925192.870535762,117979.770301531,1762,5273,584.2762148914654,0.5567987862696757,0.10214488958126304,0.11459968795791367,,-0.008271510493622403
2015-09-01,2015-09,1018338.599974533,914522.370143404,113467.940118142,1706,5140,596.9159437130909,0.5669260700389105,0.1024163429114786,0.11142456951055342,,-0.010836472267095498
2015-10-01,2015-10,1049154.27043329,943131.10021303,101757.87003983899,1775,5302,591.0728284131212,0.5480950584685025,0.10099962326989816,0.09699037873411509,,0.03026073101768678
2015-11-01,2015-11,1029120.240618734,924602.570546607,104427.360119529,1729,5235,595.2112438512053,0.5426934097421203,0.10159312370735434,0.10147245773413661,,-0.019095408920446033
2015-12-01,2015-12,1057840.880614801,950526.920552301,110641.549880989,1805,5371,586.061429703491,0.5468255445913238,0.1022081554252467,0.10459186434228729,,0.027907953670019525
2016-01-01,2016-01,1046308.250500212,940283.630375412,106780.950228697,1772,5317,590.467409988833,0.5557645288696633,0.10135226679687794,0.10205496341794866,-0.0050227077989930535,-0.010902046163962287
2016-02-01,2016-02,968542.849025412,870116.749786724,86809.490641663,1650,4894,586.9956660760073,0.5414793624846751,0.10184716029689415,0.08962896244499075,0.04480313634131461,-0.07432360534060822
2016-03-01,2016-03,1025853.120817973,921487.730559933,101259.99024981,1764,5210,581.5493882188056,0.5575815738963532,0.10179078744318619,0.09870807837389962,-0.02416216917937597,0.05917164310306866
2016-04-01,2016-04,1001211.579778363,900492.919909295,114976.619906938,1706,5097,586.8766587211975,0.5522856582303316,0.10149107369119091,0.11483748513215382,-0.013062769552918185,-0.024020535239939522
2016-05-01,2016-05,1029400.200723323,924978.220743864,110716.120111335,1763,5302,583.8912085781753,0.5565824217276499,0.1013127126705017,0.10755401061077965,-0.02006537080960691,0.028154509510567305
2016-06-01,2016-06,1003059.550005001,901448.010186072,104196.070108119,1690,5054,593.5263609497048,0.5684606252473289,0.10151761031005145,0.10387824940961832,-0.020455560175450693,-0.0255883481466328
2016-07-01,2016-07,1045715.620862,939216.40059965,119941.720183092,1758,5305,594.8325488407281,0.5193213949104618,0.10191894489198869,0.11469821985084447,0.007354367692013586,0.04252596055417279
2016-08-01,2016-08,1048200.251113612,942408.940467754,110729.540117032,1766,5334,593.5448760552729,0.5526809148856393,0.10147169155511811,0.10563777293450607,0.018169652204076847,0.0023760095020515237
